192.168.2.107, 2022-06-15 16:08:36, GET, /admin/static/_2.22.5/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.001001
192.168.2.107, 2022-06-15 16:08:36, GET, /admin/static/_2.22.5/images/files_toggle.png, HTTP/1.1, 200, 0.001001
192.168.2.107, 2022-06-15 16:08:36, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
192.168.2.107, 2022-06-15 16:08:36, GET, /admin/default/edit/getbooks/controllers/default.py, HTTP/1.1, 200, 0.024642
192.168.2.107, 2022-06-15 16:08:36, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.061542
192.168.2.107, 2022-06-15 16:08:36, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.097737
192.168.2.107, 2022-06-15 16:08:37, GET, /admin/static/_2.22.5/images/save_icon.png, HTTP/1.1, 200, 0.001000
192.168.2.107, 2022-06-15 16:08:37, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.133554
192.168.2.107, 2022-06-15 16:08:37, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.133857
192.168.2.107, 2022-06-15 16:08:37, GET, /getbooks/appadmin/hooks, HTTP/1.1, 200, 0.221619
192.168.2.107, 2022-06-15 16:09:28, GET, /admin/default/design/getbooks, HTTP/1.1, 200, 0.053854
192.168.2.107, 2022-06-15 16:09:28, GET, /favicon.ico, HTTP/1.1, 400, 0.000996
192.168.2.107, 2022-06-15 16:09:31, GET, /admin/default/design/getbooks, HTTP/1.1, 200, 0.058874
192.168.2.107, 2022-06-15 16:09:31, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
192.168.2.107, 2022-06-15 16:09:54, GET, /getbooks/default/index, HTTP/1.1, 200, 0.137671
192.168.2.107, 2022-06-15 16:09:54, GET, /getbooks/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.002986
192.168.2.107, 2022-06-15 16:09:54, GET, /getbooks/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.001993
192.168.2.107, 2022-06-15 16:09:54, GET, /getbooks/static/css/calendar.css, HTTP/1.1, 200, 0.002991
192.168.2.107, 2022-06-15 16:09:54, GET, /getbooks/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.002991
192.168.2.107, 2022-06-15 16:09:54, GET, /getbooks/static/js/jquery.js, HTTP/1.1, 200, 0.001994
192.168.2.107, 2022-06-15 16:09:54, GET, /getbooks/static/js/calendar.js, HTTP/1.1, 200, 0.001994
192.168.2.107, 2022-06-15 16:09:54, GET, /getbooks/static/js/web2py.js, HTTP/1.1, 200, 0.003990
 0.001994
192.168.2.107, 2022-06-15 16:09:54, GET, /getbooks/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.002992
192.168.2.107, 2022-06-15 16:09:54, GET, /getbooks/static/images/background.jpg, HTTP/1.1, 404, 0.002990
192.168.2.107, 2022-06-15 16:09:54, GET, /getbooks/static/images/favicon.ico, HTTP/1.1, 200, 0.001994
192.168.2.107, 2022-06-15 16:10:18, GET, /getbooks/, HTTP/1.1, 200, 0.128687
192.168.2.107, 2022-06-15 16:10:18, GET, /getbooks/static/images/background.jpg, HTTP/1.1, 404, 0.001995
192.168.2.107, 2022-06-15 16:10:22, GET, /admin/default/edit/getbooks/controllers/default.py, HTTP/1.1, 200, 0.015956
192.168.2.107, 2022-06-15 16:10:23, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
192.168.2.107, 2022-06-15 16:10:23, GET, /admin/default/edit/getbooks/controllers/default.py, HTTP/1.1, 200, 0.056850
192.168.2.107, 2022-06-15 16:10:23, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.101726
192.168.2.107, 2022-06-15 16:10:23, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.112694
192.168.2.107, 2022-06-15 16:10:23, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.119681
192.168.2.107, 2022-06-15 16:10:23, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.051862
192.168.2.107, 2022-06-15 16:10:23, GET, /getbooks/appadmin/hooks, HTTP/1.1, 200, 0.865849
192.168.2.107, 2022-06-15 16:11:09, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
192.168.2.107, 2022-06-15 16:11:18, GET, /getbooks/default/index, HTTP/1.1, 200, 0.134671
192.168.2.107, 2022-06-15 16:11:18, GET, /getbooks/static/images/background.jpg, HTTP/1.1, 404, 0.003008
192.168.2.107, 2022-06-15 16:11:23, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.117686
192.168.2.107, 2022-06-15 16:11:23, GET, /getbooks/appadmin/hooks, HTTP/1.1, 200, 0.860895
192.168.2.107, 2022-06-15 16:11:33, POST, /admin/default/edit/getbooks/controllers/default.py, HTTP/1.1, 200, 0.013966
192.168.2.107, 2022-06-15 16:11:38, GET, /getbooks/default/index, HTTP/1.1, 200, 0.071807
192.168.2.107, 2022-06-15 16:11:39, GET, /favicon.ico, HTTP/1.1, 400, 0.000997
192.168.2.107, 2022-06-15 16:11:57, POST, /admin/default/edit/getbooks/controllers/default.py, HTTP/1.1, 200, 0.014960
192.168.2.107, 2022-06-15 16:11:59, GET, /getbooks/default/index, HTTP/1.1, 200, 0.127247
192.168.2.107, 2022-06-15 16:11:59, GET, /getbooks/static/images/background.jpg, HTTP/1.1, 404, 0.001996
